Date;Latitude;Longitude;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;sunrise;sunset;moonphase;conditions;description;icon;stations
2022-10-01;21.416666666666668;-83.38666666666667;84.1;75.1;79;90.7;75.1;80.3;70.3;74.9;0;0;0;;0;;26.4;24.2;52.1;1019;16.7;12.1;218;18.6;8;10;2025-01-14T06:58:01;2025-01-14T18:00:41;0.52;Clear;Clear conditions throughout the day.;clear-day;remote,MWCB
2022-10-01;20.058333333333334;-80.0;79.6;76;77;79.6;76;77;68.7;75.7;0;9.7;0;;0;;26.2;25.9;53.4;1019.6;8.8;15;219.8;18.8;8;10;2025-01-15T06:58:04;2025-01-15T18:01:21;0.56;Clear;Clear conditions throughout the day.;clear-day;
2022-10-01;18.52;-74.79333333333334;78.3;76.7;77.2;78.3;76.7;77.2;69.4;77;12;12.9;8.33;rain;0;;23;23.5;54.8;1019.1;47.5;15;185;15.9;8;10;2025-01-16T06:58:05;2025-01-16T18:02:00;0.59;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;16.873333333333335;-69.27833333333334;78.5;75.8;76.6;78.5;75.8;76.6;68.4;76.1;59;29;8.33;rain;0;;17.7;18.6;59.6;1018.2;42.4;14.6;188.3;16.1;7;10;2025-01-17T06:58:05;2025-01-17T18:02:40;0.62;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;15.321666666666667;-65.84166666666665;79.6;76.4;78.1;79.6;76.4;78.1;70.3;77;4;6.5;4.17;rain;0;;20.6;19.9;102.1;1016.8;41.6;15;203;17.6;7;10;2025-01-18T06:58:04;2025-01-18T18:03:19;0.65;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;14.006666666666666;-61.89;80.1;78.2;79.1;83.7;78.2;79.3;71.3;77;55;16.1;4.17;rain;0;;16.3;15.4;119;1017.7;6.6;14.9;203.6;17.7;7;30;2025-01-19T06:58:02;2025-01-19T18:03:59;0.69;Clear;Clear conditions throughout the day.;clear-day;
2022-10-01;12.006666666666666;-57.91833333333333;80;78;78.6;80;78;78.6;70.9;77.3;189;16.1;12.5;rain;0;;26.6;22.8;53.1;1018.9;36.4;14.6;201.9;17.4;7;30;2025-01-20T06:57:58;2025-01-20T18:04:38;0.72;Partially cloudy;Becoming cloudy in the afternoon.;partly-cloudy-day;
2022-10-01;9.726666666666667;-53.97166666666667;78.7;77.1;78;78.7;77.1;78;71.1;79.4;12;16.1;8.33;rain;0;;24.4;22.1;65.8;1018.5;46.6;14.8;101.6;8.7;4;10;2025-01-21T06:57:53;2025-01-21T18:05:17;0.75;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;7.418333333333334;-48.01;78.9;77.4;78.1;78.9;77.4;78.1;71.2;79.4;12;22.6;8.33;rain;0;;32.7;30.4;48.3;1017.8;41.7;15;182.6;15.8;6;30;2025-01-22T06:57:46;2025-01-22T18:05:56;0.78;Partially cloudy;Partly cloudy throughout the day.;wind;
2022-10-01;4.905;-44.473333333333336;78.7;77.3;77.8;78.7;77.3;77.8;70.8;79;0;22.6;0;;0;;30;28;74.7;1016.5;75.8;15;144.3;12.5;6;10;2025-01-23T06:57:38;2025-01-23T18:06:34;0.81;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;2.7083333333333335;-40.20333333333333;79.1;77.8;78.7;79.1;77.8;78.7;70.9;77.2;0;22.6;0;;0;;13;8.5;100.5;1015.6;81.1;14.7;197;17.2;7;30;2025-01-24T06:57:29;2025-01-24T18:07:12;0.85;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;0.5816666666666667;-37.95166666666667;78.9;74.4;77.3;78.9;74.4;77.3;69.6;77.3;0;22.6;0;;0;;22.1;23.7;30.1;1016.4;86.5;14.4;159;13.6;6;10;2025-01-25T06:57:19;2025-01-25T18:07:50;0.88;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2022-10-01;-1.3033333333333332;-34.865;77.4;73.7;75.2;77.4;73.7;75.2;68.7;80.3;0.02;25.8;8.33;rain;0;;25.1;24.8;45.8;1016.9;91.9;15;86.9;7.6;3;10;2025-01-26T06:57:07;2025-01-26T18:08:28;0.91;Overcast;Cloudy skies throughout the day.;cloudy;
2022-10-01;-5.966666666666667;-31.74;76.6;74.7;75.9;76.6;74.7;75.9;70.2;82.6;4;29;4.17;rain;0;;32;31.3;39.9;1016.4;99.8;14.8;54.5;4.8;2;10;2025-01-27T06:56:55;2025-01-27T18:09:05;0.94;Overcast;Cloudy skies throughout the day.;wind;
2022-10-01;-8.25;-9.516666666666667;77.6;74.9;76.2;77.6;74.9;76.2;69.8;80.6;35;35.5;8.33;rain;0;;32;30.2;47.4;1015.8;99.9;15;97.3;8.6;4;10;2025-01-28T06:56:40;2025-01-28T18:09:42;0.97;Overcast;Cloudy skies throughout the day.;wind;
2023-08-18;-4.55;-13.166666666666666;77.4;75.1;76.6;77.4;75.1;76.6;67.3;72.9;0.02;100;4.17;rain;0;;16.1;16.3;54.7;1019.5;3.2;15;212.1;18.3;8;10;2025-01-14T06:33:00;2025-01-14T17:31:42;0.52;Rain;Clear conditions throughout the day with afternoon rain.;rain;remote
2023-08-18;0.3333333333333333;-18.1;76.2;74.4;75.2;76.2;74.4;75.2;65.3;71.3;0;19.4;0;;0;;16.1;15;59.7;1019.9;1.5;15;214.6;18.5;8;10;2025-01-15T06:33:01;2025-01-15T17:32:23;0.56;Clear;Clear conditions throughout the day.;clear-day;
2023-08-18;4.95;-24.883333333333333;77.3;74.7;75.6;77.3;74.7;75.6;66.9;74.4;32;61.3;12.5;rain;0;;14.1;12.8;82;1019.1;55.4;14.9;125;10.9;7;10;2025-01-16T06:33:02;2025-01-16T17:33:04;0.59;Rain, Partially cloudy;Partly cloudy throughout the day with rain in the morning and afternoon.;rain;
2023-08-18;9.683333333333334;-28.083333333333332;76.9;73.8;75.5;76.9;73.8;75.5;68.7;79.5;24;38.7;12.5;rain;0;;23;21.7;74.8;1018.7;20.1;9.8;206.5;17.9;7;10;2025-01-17T06:33:01;2025-01-17T17:33:44;0.62;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2023-08-18;13.216666666666667;-35.666666666666664;78;75.6;76.9;78;75.6;76.9;69.6;78.4;0;48.4;0;rain;0;;26.8;24.4;86;1018.6;57.3;14.9;174.5;15.1;6;10;2025-01-18T06:32:58;2025-01-18T17:34:25;0.65;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain.;rain;
2023-08-18;15.466666666666667;-41.28333333333333;79.6;77.4;78.3;79.6;77.4;78.3;72.4;82.2;0;16.1;0;;0;;25.3;20.6;115.9;1018.4;29.5;15;207.5;17.9;7;30;2025-01-19T06:32:54;2025-01-19T17:35:06;0.69;Partially cloudy;Partly cloudy throughout the day.;partly-cloudy-day;
2023-08-18;17.183333333333334;-47.35;80.3;77.4;78.4;84.7;77.4;78.6;73.6;85.1;16;6.5;8.33;rain;0;;26.6;19.7;81.9;1019.4;5.3;15;206.1;17.7;7;30;2025-01-20T06:32:49;2025-01-20T17:35:47;0.72;Clear;Clear conditions throughout the day.;clear-day;
